DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Germany,2019,0.71,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Germany,2020,0.86,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Germany,2021,0.76,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Germany,2022,0.74,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Spain,2019,0.71,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Spain,2020,0.63,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Spain,2021,0.61,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Spain,2022,0.69,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,France,2019,1.12,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,France,2020,1.03,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,France,2021,1.08,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,France,2022,1.21,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Italy,2019,0.53,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Italy,2020,0.48,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Italy,2021,0.51,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Italy,2022,0.55,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Netherlands,2019,0.72,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Netherlands,2020,0.70,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Netherlands,2021,0.72,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Netherlands,2022,0.81,,
