DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Germany,2019,1235.04,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Germany,2020,1120.39,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Germany,2021,1004.59,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Germany,2022,1254.11,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Spain,2019,374.65,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Spain,2020,220.82,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Spain,2021,262.25,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Spain,2022,383.04,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,France,2019,2143.76,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,France,2020,1699.61,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,France,2021,1745.53,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,France,2022,1964.18,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Italy,2019,1515.55,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Italy,2020,1026.52,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Italy,2021,1185.34,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Italy,2022,1431.39,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Netherlands,2019,1353.19,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Netherlands,2020,1176.15,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Netherlands,2021,1052.65,,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Netherlands,2022,1324.88,,
